dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
bridges.version2.arff,TYPE,BinaryEncoder,KNeighborsClassifier,12,37,0.15125055313110353,0.10646965503692626,0.00047562122344970705,0.0006527423858642579,0.6160233990850035,0.717194960387088,0.9019047619047619,0.9326578822412156,0.12023636363636366,0.10156580813736468
bridges.version2.arff,TYPE,BinaryEncoder,GaussianNB,12,37,0.15125055313110353,0.10646965503692626,0.0009150266647338867,0.00044257640838623046,0.4765408942029393,0.5470028908620532,0.8660119047619048,0.9027600362600362,0.3114484693409022,0.28561541723854045
bridges.version2.arff,TYPE,BinaryEncoder,DecisionTreeClassifier,12,37,0.15125055313110353,0.10646965503692626,0.0008782386779785156,0.00011951923370361328,0.4624994678633888,0.8578990222638213,0.7045238095238096,0.9692331649831651,0.22732753752830437,0.05372926376811973
bridges.version2.arff,TYPE,BinaryEncoder,GradientBoostingClassifier,12,37,0.15125055313110353,0.10646965503692626,0.34315717220306396,0.0006478071212768554,0.6344705822110883,1.0,0.9079761904761904,1.0,0.15478938920699148,1.1631379997075781e-07
bridges.version2.arff,TYPE,BinaryEncoder,RandomForestClassifier,12,37,0.15125055313110353,0.10646965503692626,0.8559517145156861,0.04491429328918457,0.659711653224203,1.0,0.8963095238095239,1.0,0.132169123030303,0.0171425995535166
bridges.version2.arff,TYPE,BinaryEncoder,MLPClassifier,12,37,0.15125055313110353,0.10646965503692626,0.2723237037658691,0.0001573324203491211,0.6985103226902529,1.0,0.9233333333333332,1.0,0.1227251376978961,0.003387125232513813
bridges.version2.arff,TYPE,HashingEncoder,SGDClassifier,12,10,0.06927220821380616,0.012191557884216308,0.0005018234252929688,9.317398071289063e-05,0.3307240284121954,0.4312102125671326,0.6536904761904763,0.7121045929379262,0.3331818181818182,0.28062619309746994
bridges.version2.arff,TYPE,HashingEncoder,LogisticRegression,12,10,0.06927220821380616,0.012191557884216308,0.0008517742156982422,0.0001307964324951172,0.470802741579124,0.5568822896910406,0.8235714285714286,0.8685391306224639,0.18490467694684576,0.14631840194299148
bridges.version2.arff,TYPE,HashingEncoder,SVC,12,10,0.06927220821380616,0.012191557884216308,0.0023207902908325196,0.00015630722045898438,0.4533212738763524,0.6449140747567345,0.8329761904761905,0.9134544159544161,0.18299674471446117,0.13613305630740738
bridges.version2.arff,TYPE,HashingEncoder,KNeighborsClassifier,12,10,0.06927220821380616,0.012191557884216308,0.00040307044982910154,0.0005828619003295898,0.5675333365844336,0.7015206549370225,0.855297619047619,0.9349135586635586,0.15764242424242425,0.10697090633240618
bridges.version2.arff,TYPE,HashingEncoder,GaussianNB,12,10,0.06927220821380616,0.012191557884216308,0.0007510662078857421,0.0002605676651000977,0.5662477806240489,0.6205344524109624,0.8502380952380953,0.9001483208149876,0.16271296217804235,0.13192314844177722
bridges.version2.arff,TYPE,HashingEncoder,DecisionTreeClassifier,12,10,0.06927220821380616,0.012191557884216308,0.0004125356674194336,0.00010137557983398437,0.46518918811580184,0.7226731988156017,0.7635119047619047,0.928847621514288,0.2109926290842003,0.094230128856748
bridges.version2.arff,TYPE,HashingEncoder,GradientBoostingClassifier,12,10,0.06927220821380616,0.012191557884216308,0.33366129398345945,0.0005750656127929688,0.5559850157568581,0.982889280096224,0.8576190476190476,0.9998165846499181,0.1968103986771038,0.0042276402397914935
