STAFF_ID;HOME_INSTITUTION_ID;HOME_INSTITUTION_CTRY_CD;ENTERPRISE_NAME;ENTERPRISE_SIZE_VALUE;ENTERPRISE_TYPE_CD;ENTERPRISE_CTRY_CD;TEACHER_GENDER_CD;TEACHER_NATIONALITY_CD;TEACHER_TEACHING_AREA_CD;TEACHER_SENIORITY_CD;HOST_INSTITUTION_CODE;HOST_INSTITUTION_CTRY_CD;HOST_SUBJECT_AREA_CD;TEACHER_LENGTH_DAYS_VALUE;TEACHER_LENGHT_HRS_VALUE;TEACHER_VISIT_START_DATE;TEACHING_LEVEL_CD;TEACHING_LANGUAGE_CD;TEACHER_SPECIAL_NEEDS_GRT_AMT;TEACHER_SUBSISTANCE_GRT_AMT;TEACHER_TRAVEL_COST_AMT;TEACHER_TOTAL_GRT_AMT;TEACHER_FIRST_VISIT_FLAG;ENTERPRISE_WORK_CAT_CD
GR122238490004;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;M;GR;313;J;TR ISTANBU20;TR;313;6;10;Dec-12;M;EN;0;588;167.15;755.15;Y;?
GR122238490005;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;313;S;F  PARIS178;FR;313;4;8;Nov-12;M;FR;0;560;291.86;851.86;N;?
GR122238490006;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;314;I;E  VIGO01;ES;314;8;5;Oct-12;2;EN;0;880.57;632;1512.57;N;?
GR122238490007;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;M;GR;225;I;TR ESKISEH01;TR;225;7;5;Nov-12;1;EN;0;686;332.34;1018.34;Y;?
GR122238490008;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;222;J;UK LONDON029;UK;222;5;6;Mar-13;S;EN;0;805;352.65;1157.65;N;?
GR122238490009;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;M;GR;723;J;TR XX;TR;723;6;5;May-13;1;EN;0;588;269.83;857.83;Y;?
GR122238490010;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;M;GR;4;J;CY NICOSIA01;CY;4;7;8;Apr-13;M;EN;0;735;231;966;Y;?
GR122238490012;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;M;GR;720;I;CY LIMASSO02;CY;720;6;7;Mar-13;1;EN;0;630;313;943;Y;?
GR122238490014;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;222;I;I  VENEZIA03;IT;222;8;5;May-13;1;EN;0;984.14;351.53;1335.67;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;582;S;HU SZEGED01;HU;582;3;6;Sep-12;1;EN;0;0;38.27;38.27;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;52;S;SF HELSINK01;FI;345;2;5;Oct-12;1;EN;0;151.02;318.6;469.6;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;582;S;LV JELGAVA01;LV;582;5;8;Oct-12;2;EN;0;189.29;57.92;247.21;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;582;J;LV JELGAVA01;LV;582;4;6;Oct-12;2;EN;0;157.22;28.96;186.18;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;582;J;LV JELGAVA01;LV;582;5;6;Oct-12;2;EL;0;189.29;0;189.29;Y;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;582;S;LV JELGAVA01;LV;582;4;8;Oct-12;2;EN;0;157.22;0;157.22;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;345;S;E  SEVILLA01;ES;345;7;7;Nov-12;1;EN;0;629.92;376.5;1006.43;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;541;S;PL WARSZAW05;PL;541;6;5;Nov-12;2;PL;0;395.12;28.96;424.09;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;541;S;PL WARSZAW05;PL;541;6;5;Nov-12;2;EN;0;395.12;28.96;424.09;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;521;S;TR ANTALYA01;TR;521;6;5;Nov-12;1;EN;0;858.53;521.3;1379.83;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;623;S;E  LLEIDA01;ES;623;5;8;Nov-12;2;DE;0;276.17;782;1058.15;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;623;S;D  DRESDEN02;DE;623;3;8;Dec-12;2;DE;0;429.26;651.7;1080.9;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;314;I;F  GRENOBL02;FR;314;5;8;Jan-13;1;EN;0;553.99;434.4;988.42;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;582;I;E  TENERIF01;ES;582;5;5;Feb-13;1;EN;0;293.33;897.8;1191.16;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;521;S;F  CHATENA02;FR;521;6;5;Feb-13;2;EN;0;817.19;347.5;1164.74;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;342;I;EE TARTU01;EE;342;9;8;Mar-13;2;EN;0;852.37;28.96;881.33;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;314;I;EE TARTU01;EE;314;9;8;Mar-13;2;EN;0;852.37;0;852.37;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;345;I;EE TARTU01;EE;345;9;8;Mar-13;2;EN;0;997.18;173.8;1170.95;Y;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;344;S;EE TARTU01;EE;344;6;6;Mar-13;1;EN;0;548.94;86.89;635.83;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;623;S;I  PALERMO01;IT;623;5;7;Mar-13;1;EN;0;525.03;463.4;988.42;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;442;S;NL UTRECHT01;NL;850;10;10;Mar-13;1;EN;0;528.74;0;528.74;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;582;S;HU SZEGED01;HU;582;3;6;Apr-13;1;EN;0;0;0;0;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;F;LT;344;S;EE TARTU01;EE;344;6;6;May-13;2;EN;0;519.98;28.96;548.94;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;521;S;E  HUELVA01;ES;521;6;5;May-13;1;EN;0;824.08;420;1244.03;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;421;I;P  FARO02;PT;421;6;6;May-13;2;EN;0;462.05;376.5;838.56;N;?
-1;LT KAUNAS05;LT; ? Unknown ?;?;???;???;M;LT;442;S;E  MADRID05;ES;850;7;6;Jun-13;2;EN;0;376.09;550.3;926.36;N;?
-1;LT KAUNAS02;LT; ? Unknown ?;?;???;???;M;LT;34;S;SK TRENCIN01;SK;34;10;10;Sep-12;1;EN;0;579.24;0;579.24;N;?
-1;LT KAUNAS02;LT; ? Unknown ?;?;???;???;F;LT;543;S;EE TALLINN06;EE;543;4;5;Oct-12;1;EN;0;289.62;0;289.62;N;?
-1;LT VILNIUS01;LT; ? Unknown ?;?;???;???;M;LT;46;I;A  SALZBUR01;AT;46;5;5;Feb-13;M;EN;0;739.21;399.8;1138.97;N;?
-1;LT VILNIUS01;LT; ? Unknown ?;?;???;???;M;LT;225;I;CZ PRAHA07;CZ;225;5;5;Apr-13;M;XX;0;753.82;245;998.84;N;?
-1;LT VILNIUS01;LT; ? Unknown ?;?;???;???;M;LT;34;I;E  LAS-PAL01;ES;34;7;5;Mar-13;1;EN;0;664.27;837;1501.27;Y;?
-1;LT VILNIUS01;LT; ? Unknown ?;?;???;???;F;LT;441;I;B  LEUVEN18;BENL;441;5;5;Mar-13;1;EN;0;587.94;275.6;863.55;N;?
GR12546260004;G  ATHINE06;GR; ? Unknown ?;?;???;???;M;GR;211;S;CZ BRNO01;CZ;211;7;8;Jul-13;S;EN;0;735;450;1185;N;?
GR12291210002;G  ATHINE03;GR; ? Unknown ?;?;???;???;M;GR;621;I;RO CLUJNAP04;RO;621;7;5;May-13;2;EN;0;588;333.29;921.29;Y;?
GR12291210003;G  ATHINE03;GR; ? Unknown ?;?;???;???;F;GR;621;S;TR IZMIR02;TR;621;7;5;Mar-13;M;EN;0;686;313;999;N;?
GR12291210004;G  ATHINE03;GR; ? Unknown ?;?;???;???;M;GR;620;S;I  PERUGIA01;IT;620;7;6;Apr-13;M;EN;0;931;186.46;1117.46;Y;?
GR12291210006;G  ATHINE03;GR; ? Unknown ?;?;???;???;F;GR;620;I;UK CRANFIE01;UK;620;7;5;May-13;M;EN;0;1127;598;1725;N;?
GR12291210007;G  ATHINE03;GR; ? Unknown ?;?;???;???;M;GR;620;I;TR TEKIRDA01;TR;620;4;12;May-13;M;EN;0;392;266.09;658.09;Y;?
GR12291230001;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;345;S;RO CLUJNAP01;RO;345;5;5;Oct-12;1;EN;0;420;372;792;Y;?
GR12291230002;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;48;S;D  DARMSTA02;DE;48;7;5;Oct-12;1;DE;0;784;349.16;1133.16;Y;?
GR12291230003;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;581;S;TR HATAY01;TR;581;5;5;Oct-12;1;EN;0;490;465;955;Y;?
GR12291230005;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;214;I;SF XX;FI;214;7;20;Sep-12;1;EN;0;1029;424.34;1453.34;Y;?
GR12291230006;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;581;S;P  MATOSIN01;PT;581;10;16;Nov-12;1;EN;0;861;376.36;1237.36;Y;?
GR12291230007;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;762;S;SF HELSINK41;FI;762;7;5;Nov-12;1;EN;0;1029;721.26;1750.26;Y;?
GR12291230008;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;210;I;D  STUTTGA06;DE;210;6;6;Nov-12;1;EN;0;672;320;992;Y;?
GR12291230009;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;210;I;D  STUTTGA06;DE;210;6;6;Nov-12;1;EN;0;672;265;937;Y;?
GR12291230010;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;213;S;I  URBINO03;IT;213;7;5;Dec-12;1;EN;0;931;280;1211;Y;?
GR12291230011;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;342;J;F  PARIS013;FR;342;7;5;Dec-12;1;EN;0;980;258.87;1238.87;Y;?
GR12291230012;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;620;S;D  TRIER02;DE;620;7;5;Nov-12;1;EN;0;784;469.66;1253.66;Y;?
GR12291230014;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;725;J;E  MADRID05;ES;725;6;5;Nov-12;1;EN;0;714;201.99;915.99;Y;?
GR12291230015;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;725;J;E  MADRID05;ES;725;6;5;Nov-12;1;EN;0;714;201.99;915.99;Y;?
GR12291230017;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;213;S;E  VALENCI02;ES;213;7;5;Feb-13;1;EN;0;833;246.57;1079.57;Y;?
GR12291230018;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;213;I;E  VALENCI02;ES;213;7;5;Feb-13;1;EN;0;833;246.57;1079.57;Y;?
GR12291230019;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;725;I;DK XX;DK;725;7;5;Jan-13;1;EN;0;1127;316.03;1443.03;Y;?
GR12291230020;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;581;J;HU BUDAPES27;HU;581;7;5;Feb-13;1;EN;0;686;248.94;934.94;Y;?
GR12291230021;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;525;I;D  HAMBURG13;DE;525;7;5;Feb-13;1;EN;0;784;336.38;1120.38;Y;?
GR12291230024;G  ATHINE34;GR; ? Unknown ?;?;???;???;F;GR;581;S;UK BANGOR01;UK;581;6;5;Feb-13;1;EN;0;966;425.21;1391.21;N;?
GR12291230025;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;523;S;UK BRADFOR01;UK;523;7;5;Jan-13;1;EN;0;1127;590.68;1717.68;Y;?
GR12291230028;G  ATHINE34;GR; ? Unknown ?;?;???;???;M;GR;322;S;TR ISTANBU03;TR;322;6;8;Mar-13;1;EN;0;588;165.32;753.32;Y;?
GR12291230030;-1;GR;INCDTP;M;M;RO;F;RO;421;I;G  ATHINE34;GR;421;5;5;Mar-13;1;EN;0;560;256;816;Y;R
GR12291230031;-1;GR;INCDTP;M;M;RO;F;RO;421;I;G  ATHINE34;GR;421;5;5;Mar-13;1;EN;0;560;256;816;N;R
GR12291230032;-1;GR;INCDTP;M;M;RO;M;RO;421;I;G  ATHINE34;GR;421;5;5;Mar-13;1;EN;0;560;256;816;N;R
